Vulnerability,CALDERA Value
VNC,f88b3ffb-324f-40cb-a060-8a3da2a9fdae
SQL,4fba8abb-22c6-4d0e-8954-9e99f70f75c5
SMTP,75e92488-bd04-457d-ab0c-71613cee22b2
FTP,fd70bc05-37aa-4930-be10-6560c587cc86
